# 世界银行 WDI · SP.DYN.LE00.IN · 2023 年 · 取数 2026-09-10
iso3,name_en,region_en,years
MAC,"Macao SAR, China",East Asia & Pacific,83.18
MAF,St. Martin (French part),Latin America & Caribbean ,80.22
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",75.31
MCO,Monaco,Europe & Central Asia,86.37
MDA,Moldova,Europe & Central Asia,71.2
MDG,Madagascar,Sub-Saharan Africa ,63.63
MDV,Maldives,South Asia,81.04
MEX,Mexico,Latin America & Caribbean ,75.07
MHL,Marshall Islands,East Asia & Pacific,66.94
MKD,North Macedonia,Europe & Central Asia,75.32
MLI,Mali,Sub-Saharan Africa ,60.44
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",83.36
MMR,Myanmar,East Asia & Pacific,66.89
MNE,Montenegro,Europe & Central Asia,77.59
MNG,Mongolia,East Asia & Pacific,72.12
MNP,Northern Mariana Islands,East Asia & Pacific,78.81
MOZ,Mozambique,Sub-Saharan Africa ,63.61
MRT,Mauritania,Sub-Saharan Africa ,68.48
MUS,Mauritius,Sub-Saharan Africa ,73.41
MWI,Malawi,Sub-Saharan Africa ,67.35
MYS,Malaysia,East Asia & Pacific,76.66
NAM,Namibia,Sub-Saharan Africa ,67.39
NCL,New Caledonia,East Asia & Pacific,78.77
NER,Niger,Sub-Saharan Africa ,61.18
NGA,Nigeria,Sub-Saharan Africa ,54.46
NIC,Nicaragua,Latin America & Caribbean ,74.95
NLD,Netherlands,Europe & Central Asia,81.86
NOR,Norway,Europe & Central Asia,83.01
NPL,Nepal,South Asia,70.35
NRU,Naoero,East Asia & Pacific,62.11
NZL,New Zealand,East Asia & Pacific,81.76
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",80.03
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",67.65
PAN,Panama,Latin America & Caribbean ,79.59
PER,Peru,Latin America & Caribbean ,77.74
PHL,Philippines,East Asia & Pacific,69.83
PLW,Palau,East Asia & Pacific,69.27
PNG,Papua New Guinea,East Asia & Pacific,66.13
POL,Poland,Europe & Central Asia,78.26
PRI,Puerto Rico (US),Latin America & Caribbean ,81.69
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,73.64
PRT,Portugal,Europe & Central Asia,82.33
PRY,Paraguay,Latin America & Caribbean ,73.84
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",65.17
